Date,Latitude,Longitude,Temperature,Humidity,Rainfall,Season,Soil_Type,Water_Liters
2020-02-06,8.0,76.0,28.03,72.77,0.07,Winter,Black,123540.20999999999
2020-02-07,8.0,76.0,28.1,74.04,0.08,Winter,Black,123730.92000000001
2020-02-08,8.0,76.0,27.78,76.91,1.56,Winter,Black,108893.43000000001
2020-02-09,8.0,76.0,28.2,74.35,1.48,Winter,Black,111572.54999999999
2020-02-10,8.0,76.0,28.6,71.93,0.3,Winter,Black,124057.89000000001
2020-02-11,8.0,76.0,28.69,73.03,0.06,Winter,Black,126593.19
2020-02-12,8.0,76.0,28.65,69.1,0.89,Winter,Black,119049.3
2020-02-13,8.0,76.0,28.56,71.48,0.2,Winter,Black,124790.04000000001
2020-02-14,8.0,76.0,28.08,72.28,5.12,Winter,Black,78328.44
2020-02-15,8.0,76.0,28.46,71.35,0.21,Winter,Black,124253.55
2020-02-16,8.0,76.0,28.27,70.56,0.0,Winter,Black,125309.88000000002
2020-02-17,8.0,76.0,28.15,71.21,0.0,Winter,Black,124752.32999999999
2020-02-18,8.0,76.0,28.1,67.22,0.0,Winter,Black,124635.06
2020-02-19,8.0,76.0,27.95,66.24,0.0,Winter,Black,123986.51999999999
2020-02-20,8.0,76.0,27.94,69.5,0.0,Winter,Black,123853.5
2020-02-21,8.0,76.0,28.36,71.3,0.34,Winter,Black,122634.90000000001
2020-02-22,8.0,76.0,28.94,77.38,1.01,Winter,Black,119050.74
2020-02-23,8.0,76.0,28.48,76.2,0.0,Winter,Black,126102.6
2020-02-24,8.0,76.0,28.58,74.32,0.0,Winter,Black,126603.36
2020-02-25,8.0,76.0,28.43,71.88,0.0,Winter,Black,125994.24
2020-02-26,8.0,76.0,28.53,71.11,0.0,Winter,Black,126465.03000000001
2020-02-27,8.0,76.0,28.57,71.75,0.01,Winter,Black,126537.75
2020-02-28,8.0,76.0,28.7,72.15,0.58,Winter,Black,121981.95
2020-02-29,8.0,76.0,28.12,72.1,1.5,Winter,Black,111093.3
2020-03-01,8.0,76.0,28.55,70.02,0.0,Summer,Black,126584.45999999999
2020-03-02,8.0,76.0,28.68,69.54,0.01,Summer,Black,127092.42
2020-03-03,8.0,76.0,28.58,74.89,0.14,Summer,Black,125327.96999999999
2020-03-04,8.0,76.0,28.64,80.67,1.54,Summer,Black,112841.91
2020-03-05,8.0,76.0,28.58,79.51,1.77,Summer,Black,110533.22999999998
2020-03-06,8.0,76.0,28.21,80.35,0.28,Summer,Black,122255.55000000003
2020-03-07,8.0,76.0,28.3,73.95,0.21,Summer,Black,123463.35
2020-03-08,8.0,76.0,28.06,75.3,0.0,Summer,Black,124236.90000000001
2020-03-09,8.0,76.0,28.01,79.23,0.81,Summer,Black,116615.79
2020-03-10,8.0,76.0,28.57,73.72,1.1,Summer,Black,116674.56000000001
2020-03-11,8.0,76.0,28.9,71.55,0.2,Summer,Black,126318.15000000001
2020-03-12,8.0,76.0,28.42,74.14,0.16,Summer,Black,124448.22000000002
2020-03-13,8.0,76.0,28.75,72.3,0.0,Summer,Black,127422.90000000001
2020-03-14,8.0,76.0,28.97,71.5,0.0,Summer,Black,128434.5
2020-03-15,8.0,76.0,28.73,74.76,0.0,Summer,Black,127266.48000000001
2020-03-16,8.0,76.0,29.13,73.4,0.0,Summer,Black,129103.2
2020-03-17,8.0,76.0,29.21,78.34,0.03,Summer,Black,129059.82000000002
2020-03-18,8.0,76.0,29.29,80.24,0.49,Summer,Black,125228.51999999999
2020-03-19,8.0,76.0,29.04,76.53,1.4,Summer,Black,116013.68999999999
2020-03-20,8.0,76.0,28.58,77.03,2.09,Summer,Black,107720.18999999999
2020-03-21,8.0,76.0,29.14,74.3,0.9,Summer,Black,121023.90000000001
2020-03-22,8.0,76.0,28.97,72.76,2.67,Summer,Black,104370.48
2020-03-23,8.0,76.0,28.86,74.64,2.54,Summer,Black,104994.72
2020-03-24,8.0,76.0,28.95,73.66,3.91,Summer,Black,93096.18
2020-03-25,8.0,76.0,28.51,74.86,3.7,Summer,Black,92973.78
2020-03-26,8.0,76.0,29.06,74.02,0.34,Summer,Black,125711.45999999999
2020-03-27,8.0,76.0,29.33,72.43,0.2,Summer,Black,128229.39000000001
2020-03-28,8.0,76.0,29.45,67.06,0.0,Summer,Black,130714.37999999999
2020-03-29,8.0,76.0,28.79,72.29,0.2,Summer,Black,125803.17
2020-03-30,8.0,76.0,28.89,75.98,1.26,Summer,Black,116613.54000000001
2020-03-31,8.0,76.0,28.99,75.77,0.84,Summer,Black,120849.20999999999
2020-04-01,8.0,76.0,29.43,69.75,0.15,Summer,Black,129201.75
2020-04-02,8.0,76.0,29.22,76.42,0.25,Summer,Black,127176.66
2020-04-03,8.0,76.0,28.3,79.17,1.31,Summer,Black,113422.41
2020-04-04,8.0,76.0,28.79,74.58,2.39,Summer,Black,106031.34
2020-04-05,8.0,76.0,28.89,76.93,8.06,Summer,Black,55387.88999999999
2020-04-06,8.0,76.0,28.87,77.85,1.45,Summer,Black,114763.05000000002
2020-04-07,8.0,76.0,28.96,80.82,2.15,Summer,Black,108787.86000000002
2020-04-08,8.0,76.0,28.91,82.87,2.11,Summer,Black,108867.51000000001
2020-04-09,8.0,76.0,29.15,79.38,1.01,Summer,Black,119941.74
2020-04-10,8.0,76.0,29.39,74.28,0.4,Summer,Black,126649.44
2020-04-11,8.0,76.0,29.2,77.19,0.58,Summer,Black,124095.87
2020-04-12,8.0,76.0,29.56,76.54,0.72,Summer,Black,124473.42
2020-04-13,8.0,76.0,29.05,77.96,0.27,Summer,Black,126190.08000000002
2020-04-14,8.0,76.0,29.52,74.06,0.46,Summer,Black,126700.37999999999
2020-04-15,8.0,76.0,29.24,75.67,0.38,Summer,Black,126116.91
2020-04-16,8.0,76.0,28.97,76.62,1.54,Summer,Black,114436.25999999998
2020-04-17,8.0,76.0,29.29,74.85,1.58,Summer,Black,115564.04999999999
2020-04-18,8.0,76.0,29.57,78.48,0.65,Summer,Black,125096.04000000001
2020-04-19,8.0,76.0,29.59,75.13,2.2,Summer,Black,111326.49000000002
2020-04-20,8.0,76.0,29.89,75.66,2.32,Summer,Black,111582.18000000001
2020-04-21,8.0,76.0,30.29,72.9,4.49,Summer,Black,93926.69999999998
2020-04-22,8.0,76.0,29.76,76.65,2.81,Summer,Black,106560.45
2020-04-23,8.0,76.0,30.1,79.77,4.39,Summer,Black,93786.21
2020-04-24,8.0,76.0,30.18,80.72,5.33,Summer,Black,85660.56
2020-04-25,8.0,76.0,30.28,77.43,4.52,Summer,Black,93489.39000000001
2020-04-26,8.0,76.0,30.28,76.57,2.82,Summer,Black,108812.61
2020-04-27,8.0,76.0,30.31,78.5,2.59,Summer,Black,110965.5
2020-04-28,8.0,76.0,29.96,76.66,6.13,Summer,Black,77580.18
2020-04-29,8.0,76.0,29.45,78.96,8.44,Summer,Black,54433.08000000001
2020-04-30,8.0,76.0,29.9,78.07,1.54,Summer,Black,118582.11
2020-05-01,8.0,76.0,29.98,74.5,0.48,Summer,Black,128578.5
2020-05-02,8.0,76.0,29.89,81.83,4.06,Summer,Black,95755.59000000003
2020-05-03,8.0,76.0,30.34,81.79,7.27,Summer,Black,68891.67
2020-05-04,8.0,76.0,30.33,81.69,4.85,Summer,Black,90629.37
2020-05-05,8.0,76.0,29.83,82.84,11.68,Summer,Black,26878.320000000003
2020-05-06,8.0,76.0,30.01,74.46,11.38,Summer,Black,30614.579999999998
2020-05-07,8.0,76.0,30.1,75.36,11.42,Summer,Black,30635.28000000001
2020-05-08,8.0,76.0,29.36,80.61,7.34,Summer,Black,63883.53
2020-05-09,8.0,76.0,28.95,80.78,6.94,Summer,Black,65633.93999999999
2020-05-10,8.0,76.0,29.48,77.18,12.17,Summer,Black,21046.139999999996
2020-05-11,8.0,76.0,29.68,79.26,20.12,Summer,Black,0.0
2020-05-12,8.0,76.0,30.12,71.78,9.84,Summer,Black,45041.94000000001
2020-05-13,8.0,76.0,29.25,77.65,11.81,Summer,Black,23238.44999999999
2020-05-14,8.0,76.0,29.83,80.31,7.0,Summer,Black,69066.62999999999
2020-05-15,8.0,76.0,29.18,85.39,20.86,Summer,Black,0.0
2020-05-16,8.0,76.0,30.06,76.74,5.7,Summer,Black,81898.01999999999
2020-05-17,8.0,76.0,30.23,77.85,4.37,Summer,Black,94603.05
2020-05-18,8.0,76.0,29.6,81.03,51.69,Summer,Black,0.0
2020-05-19,8.0,76.0,30.2,78.16,5.2,Summer,Black,86989.68000000001
2020-05-20,8.0,76.0,29.78,81.33,2.89,Summer,Black,105804.09
2020-05-21,8.0,76.0,29.45,75.96,10.6,Summer,Black,35074.079999999994
2020-05-22,8.0,76.0,29.47,76.67,2.92,Summer,Black,104264.91
2020-05-23,8.0,76.0,29.5,81.42,0.37,Summer,Black,127221.66
2020-05-24,8.0,76.0,29.58,82.78,9.91,Summer,Black,41684.93999999999
2020-05-25,8.0,76.0,29.68,81.87,13.35,Summer,Black,11199.51000000001
2020-05-26,8.0,76.0,29.55,83.38,10.0,Summer,Black,40723.740000000005
2020-05-27,8.0,76.0,29.78,83.41,2.13,Summer,Black,112587.93
2020-05-28,8.0,76.0,29.51,82.13,8.24,Summer,Black,56417.490000000005
2020-05-29,8.0,76.0,28.98,80.01,16.32,Summer,Black,0.0
2020-05-30,8.0,76.0,28.07,83.84,16.79,Summer,Black,0.0
2020-05-31,8.0,76.0,28.54,84.05,10.26,Summer,Black,33820.649999999994
2020-06-01,8.0,76.0,28.77,82.82,9.91,SW_Monsoon,Black,38038.86
2020-06-02,8.0,76.0,28.74,82.03,15.39,SW_Monsoon,Black,0.0
2020-06-03,8.0,76.0,28.66,81.89,15.72,SW_Monsoon,Black,0.0
2020-06-04,8.0,76.0,29.12,80.48,7.0,SW_Monsoon,Black,65867.04
2020-06-05,8.0,76.0,29.18,81.94,21.46,SW_Monsoon,Black,0.0
2020-06-06,8.0,76.0,29.12,75.88,11.76,SW_Monsoon,Black,23151.240000000016
2020-06-07,8.0,76.0,28.84,80.06,7.72,SW_Monsoon,Black,58138.38
2020-06-08,8.0,76.0,29.07,81.03,4.9,SW_Monsoon,Black,84527.18999999999
2020-06-09,8.0,76.0,28.83,84.52,8.88,SW_Monsoon,Black,47532.959999999985
2020-06-10,8.0,76.0,28.99,83.68,7.03,SW_Monsoon,Black,64925.63999999999
2020-06-11,8.0,76.0,29.15,77.01,4.48,SW_Monsoon,Black,88775.72999999998
2020-06-12,8.0,76.0,29.25,77.09,10.58,SW_Monsoon,Black,34323.57
2020-06-13,8.0,76.0,29.08,78.46,12.92,SW_Monsoon,Black,12461.58
2020-06-14,8.0,76.0,29.07,80.76,2.33,SW_Monsoon,Black,107664.48000000001
2020-06-15,8.0,76.0,29.25,81.22,3.03,SW_Monsoon,Black,102162.06000000001
2020-06-16,8.0,76.0,29.06,84.08,5.91,SW_Monsoon,Black,75309.84
2020-06-17,8.0,76.0,28.83,83.15,8.47,SW_Monsoon,Black,51259.95
2020-06-18,8.0,76.0,29.06,78.85,4.67,SW_Monsoon,Black,86611.05
2020-06-19,8.0,76.0,28.71,82.66,3.4,SW_Monsoon,Black,96363.18
2020-06-20,8.0,76.0,28.68,82.35,3.0,SW_Monsoon,Black,99836.55
2020-06-21,8.0,76.0,27.74,83.21,5.44,SW_Monsoon,Black,73623.33
2020-06-22,8.0,76.0,27.82,82.27,17.25,SW_Monsoon,Black,0.0
2020-06-23,8.0,76.0,28.53,79.2,3.67,SW_Monsoon,Black,93216.6
2020-06-24,8.0,76.0,28.25,83.1,2.98,SW_Monsoon,Black,98061.3
2020-06-25,8.0,76.0,27.9,80.65,6.89,SW_Monsoon,Black,61362.450000000004
2020-06-26,8.0,76.0,27.71,81.2,38.02,SW_Monsoon,Black,0.0
2020-06-27,8.0,76.0,28.27,78.72,0.34,SW_Monsoon,Black,122029.56
2020-06-28,8.0,76.0,28.22,84.72,2.0,SW_Monsoon,Black,106702.56
2020-06-29,8.0,76.0,28.03,87.33,2.67,SW_Monsoon,Black,99747.09
2020-06-30,8.0,76.0,28.05,88.27,4.75,SW_Monsoon,Black,81091.70999999999
2020-07-01,8.0,76.0,28.02,84.45,5.03,SW_Monsoon,Black,78539.85
2020-07-02,8.0,76.0,27.99,83.56,4.74,SW_Monsoon,Black,81038.87999999999
2020-07-03,8.0,76.0,27.69,82.27,14.6,SW_Monsoon,Black,0.0
2020-07-04,8.0,76.0,27.99,77.82,5.94,SW_Monsoon,Black,70393.86
2020-07-05,8.0,76.0,28.27,81.01,5.47,SW_Monsoon,Black,75797.73000000001
2020-07-06,8.0,76.0,28.21,78.98,7.55,SW_Monsoon,Black,56862.54
2020-07-07,8.0,76.0,28.37,79.24,2.53,SW_Monsoon,Black,102755.52000000002
2020-07-08,8.0,76.0,28.8,78.81,4.05,SW_Monsoon,Black,91022.13
2020-07-09,8.0,76.0,27.71,83.53,8.37,SW_Monsoon,Black,47109.69000000001
2020-07-10,8.0,76.0,27.03,85.31,5.27,SW_Monsoon,Black,71901.63000000002
2020-07-11,8.0,76.0,27.18,85.43,3.56,SW_Monsoon,Black,87963.39
2020-07-12,8.0,76.0,27.38,83.61,3.1,SW_Monsoon,Black,93052.53
2020-07-13,8.0,76.0,27.06,85.05,5.59,SW_Monsoon,Black,69163.65
2020-07-14,8.0,76.0,27.64,84.71,1.34,SW_Monsoon,Black,110032.83000000002
2020-07-15,8.0,76.0,27.75,84.03,5.38,SW_Monsoon,Black,74186.18999999999
2020-07-16,8.0,76.0,27.57,85.25,6.35,SW_Monsoon,Black,64613.25
2020-07-17,8.0,76.0,27.38,85.46,9.08,SW_Monsoon,Black,39182.58
2020-07-18,8.0,76.0,26.81,87.47,19.29,SW_Monsoon,Black,0.0
2020-07-19,8.0,76.0,27.21,85.44,12.91,SW_Monsoon,Black,3948.1199999999976
2020-07-20,8.0,76.0,26.76,89.28,6.79,SW_Monsoon,Black,56899.44000000001
2020-07-21,8.0,76.0,27.11,86.12,4.42,SW_Monsoon,Black,79889.76
2020-07-22,8.0,76.0,27.29,84.86,1.21,SW_Monsoon,Black,109623.77999999998
2020-07-23,8.0,76.0,27.14,86.53,9.63,SW_Monsoon,Black,33123.69
2020-07-24,8.0,76.0,27.05,85.68,14.51,SW_Monsoon,Black,0.0
2020-07-25,8.0,76.0,27.21,84.88,13.25,SW_Monsoon,Black,903.240000000002
2020-07-26,8.0,76.0,27.36,77.96,10.7,SW_Monsoon,Black,24715.080000000013
2020-07-27,8.0,76.0,27.54,81.67,18.07,SW_Monsoon,Black,0.0
2020-07-28,8.0,76.0,27.4,84.52,24.24,SW_Monsoon,Black,0.0
2020-07-29,8.0,76.0,26.71,84.55,95.2,SW_Monsoon,Black,0.0
2020-07-30,8.0,76.0,27.75,78.04,25.76,SW_Monsoon,Black,0.0
2020-07-31,8.0,76.0,27.54,83.48,8.81,SW_Monsoon,Black,42386.04
2020-08-01,8.0,76.0,27.56,84.53,15.75,SW_Monsoon,Black,0.0
2020-08-02,8.0,76.0,26.91,86.29,10.84,SW_Monsoon,Black,21205.170000000002
2020-08-03,8.0,76.0,27.22,85.04,3.36,SW_Monsoon,Black,89953.92
2020-08-04,8.0,76.0,27.42,89.53,8.55,SW_Monsoon,Black,44022.69000000001
2020-08-05,8.0,76.0,27.47,85.29,41.11,SW_Monsoon,Black,0.0
2020-08-06,8.0,76.0,27.41,87.14,33.78,SW_Monsoon,Black,0.0
2020-08-07,8.0,76.0,27.21,85.99,20.03,SW_Monsoon,Black,0.0
2020-08-08,8.0,76.0,27.13,84.41,13.89,SW_Monsoon,Black,0.0
2020-08-09,8.0,76.0,26.5,87.11,10.94,SW_Monsoon,Black,18438.03000000001
2020-08-10,8.0,76.0,27.23,88.05,12.18,SW_Monsoon,Black,10537.649999999998
2020-08-11,8.0,76.0,27.13,87.17,4.19,SW_Monsoon,Black,82021.41
2020-08-12,8.0,76.0,27.23,85.03,4.59,SW_Monsoon,Black,78929.19
2020-08-13,8.0,76.0,27.26,81.9,0.14,SW_Monsoon,Black,119198.7
2020-08-14,8.0,76.0,27.4,83.99,0.41,SW_Monsoon,Black,117342.26999999999
2020-08-15,8.0,76.0,27.43,84.43,0.76,SW_Monsoon,Black,114315.39000000001
2020-08-16,8.0,76.0,27.25,87.15,1.49,SW_Monsoon,Black,106861.95
2020-08-17,8.0,76.0,27.6,83.71,0.52,SW_Monsoon,Black,117259.83000000002
2020-08-18,8.0,76.0,27.36,86.92,0.33,SW_Monsoon,Black,117803.16
2020-08-19,8.0,76.0,27.69,84.87,0.25,SW_Monsoon,Black,120063.51000000002
2020-08-20,8.0,76.0,27.78,83.22,0.25,SW_Monsoon,Black,120513.06
2020-08-21,8.0,76.0,27.61,86.58,0.23,SW_Monsoon,Black,119837.33999999998
2020-08-22,8.0,76.0,27.82,85.72,0.48,SW_Monsoon,Black,118555.56
2020-08-23,8.0,76.0,27.85,84.19,1.19,SW_Monsoon,Black,112341.87000000001
2020-08-24,8.0,76.0,27.95,80.98,0.37,SW_Monsoon,Black,120258.54000000001
2020-08-25,8.0,76.0,28.07,83.1,0.47,SW_Monsoon,Black,119841.3
2020-08-26,8.0,76.0,28.26,79.94,0.26,SW_Monsoon,Black,122671.62000000002
2020-08-27,8.0,76.0,28.45,77.75,0.46,SW_Monsoon,Black,121785.75
2020-08-28,8.0,76.0,27.94,81.56,1.82,SW_Monsoon,Black,107147.88
2020-08-29,8.0,76.0,28.02,81.87,1.79,SW_Monsoon,Black,107769.51
2020-08-30,8.0,76.0,27.91,84.39,1.3,SW_Monsoon,Black,111616.46999999999
2020-08-31,8.0,76.0,27.97,83.17,1.39,SW_Monsoon,Black,111109.40999999999
2020-09-01,8.0,76.0,27.03,84.91,5.09,SW_Monsoon,Black,73532.43
2020-09-02,8.0,76.0,26.92,85.73,5.26,SW_Monsoon,Black,71485.29000000002
2020-09-03,8.0,76.0,27.92,82.28,8.9,SW_Monsoon,Black,43318.44
2020-09-04,8.0,76.0,28.25,83.25,42.5,SW_Monsoon,Black,0.0
2020-09-05,8.0,76.0,28.0,84.11,37.83,SW_Monsoon,Black,0.0
2020-09-06,8.0,76.0,27.52,86.02,21.85,SW_Monsoon,Black,0.0
2020-09-07,8.0,76.0,27.95,81.6,10.34,SW_Monsoon,Black,30511.8
2020-09-08,8.0,76.0,28.01,83.95,41.25,SW_Monsoon,Black,0.0
2020-09-09,8.0,76.0,27.92,85.68,20.09,SW_Monsoon,Black,0.0
2020-09-10,8.0,76.0,27.56,84.23,45.09,SW_Monsoon,Black,0.0
2020-09-11,8.0,76.0,28.14,83.05,6.18,SW_Monsoon,Black,68767.65000000001
2020-09-12,8.0,76.0,27.77,84.0,3.46,SW_Monsoon,Black,91556.99999999999
2020-09-13,8.0,76.0,27.67,82.86,5.1,SW_Monsoon,Black,76377.78000000001
2020-09-14,8.0,76.0,27.61,81.46,12.44,SW_Monsoon,Black,10085.580000000005
2020-09-15,8.0,76.0,27.42,87.11,10.47,SW_Monsoon,Black,26808.03000000001
2020-09-16,8.0,76.0,27.76,86.71,6.0,SW_Monsoon,Black,68578.83000000002
2020-09-17,8.0,76.0,27.69,86.49,6.66,SW_Monsoon,Black,62329.770000000004
2020-09-18,8.0,76.0,27.81,86.25,9.33,SW_Monsoon,Black,38846.25
2020-09-19,8.0,76.0,27.78,84.88,14.61,SW_Monsoon,Black,0.0
2020-09-20,8.0,76.0,27.8,79.79,12.04,SW_Monsoon,Black,14585.670000000018
2020-09-21,8.0,76.0,28.05,77.5,20.03,SW_Monsoon,Black,0.0
2020-09-22,8.0,76.0,28.02,81.02,10.94,SW_Monsoon,Black,25442.460000000006
2020-09-23,8.0,76.0,27.76,84.29,3.83,SW_Monsoon,Black,88174.17
2020-09-24,8.0,76.0,27.56,86.02,8.52,SW_Monsoon,Black,45017.46
2020-09-25,8.0,76.0,27.28,86.48,5.03,SW_Monsoon,Black,75155.04000000002
2020-09-26,8.0,76.0,27.23,81.91,1.51,SW_Monsoon,Black,106733.43
2020-09-27,8.0,76.0,26.85,85.25,0.55,SW_Monsoon,Black,113573.24999999999
2020-09-28,8.0,76.0,27.38,85.34,2.82,SW_Monsoon,Black,95525.82
2020-09-29,8.0,76.0,27.92,78.94,2.49,SW_Monsoon,Black,101098.62000000001
2020-09-30,8.0,76.0,27.52,82.15,5.37,SW_Monsoon,Black,73291.95000000001
2020-10-01,8.0,76.0,27.48,82.9,0.47,NE_Monsoon,Black,117191.7
2020-10-02,8.0,76.0,27.26,84.91,1.07,NE_Monsoon,Black,110747.43
2020-10-03,8.0,76.0,27.22,84.26,0.5,NE_Monsoon,Black,115714.98
2020-10-04,8.0,76.0,27.34,82.82,0.42,NE_Monsoon,Black,117013.86000000002
2020-10-05,8.0,76.0,27.45,81.17,0.34,NE_Monsoon,Black,118273.41
2020-10-06,8.0,76.0,27.45,79.35,0.0,NE_Monsoon,Black,121382.55
2020-10-07,8.0,76.0,27.48,80.14,0.08,NE_Monsoon,Black,120776.21999999999
2020-10-08,8.0,76.0,27.64,81.0,1.22,NE_Monsoon,Black,111213.0
2020-10-09,8.0,76.0,27.34,84.31,1.56,NE_Monsoon,Black,106713.63
2020-10-10,8.0,76.0,27.3,83.43,7.18,NE_Monsoon,Black,55977.390000000014
2020-10-11,8.0,76.0,27.64,83.02,10.23,NE_Monsoon,Black,30068.460000000003
2020-10-12,8.0,76.0,28.19,82.02,6.34,NE_Monsoon,Black,67580.46
2020-10-13,8.0,76.0,28.14,82.85,12.97,NE_Monsoon,Black,7663.049999999998
2020-10-14,8.0,76.0,27.82,85.74,23.52,NE_Monsoon,Black,0.0
2020-10-15,8.0,76.0,27.58,86.37,27.66,NE_Monsoon,Black,0.0
2020-10-16,8.0,76.0,28.11,74.56,1.15,NE_Monsoon,Black,114131.88
2020-10-17,8.0,76.0,27.74,79.35,0.29,NE_Monsoon,Black,120077.55
2020-10-18,8.0,76.0,27.44,83.91,4.12,NE_Monsoon,Black,84134.43
2020-10-19,8.0,76.0,27.37,84.09,3.5,NE_Monsoon,Black,89394.57000000002
2020-10-20,8.0,76.0,27.81,81.01,1.39,NE_Monsoon,Black,110447.73
2020-10-21,8.0,76.0,27.66,83.97,8.21,NE_Monsoon,Black,48312.80999999999
2020-10-22,8.0,76.0,27.7,83.33,9.52,NE_Monsoon,Black,36720.09
2020-10-23,8.0,76.0,27.58,83.11,2.9,NE_Monsoon,Black,95766.02999999998
2020-10-24,8.0,76.0,27.78,81.52,9.33,NE_Monsoon,Black,38838.96000000001
2020-10-25,8.0,76.0,27.76,82.18,3.45,NE_Monsoon,Black,91651.14000000001
2020-10-26,8.0,76.0,27.71,81.73,0.95,NE_Monsoon,Black,113938.29000000002
2020-10-27,8.0,76.0,27.74,81.58,12.85,NE_Monsoon,Black,6977.339999999995
2020-10-28,8.0,76.0,27.23,85.01,49.0,NE_Monsoon,Black,0.0
2020-10-29,8.0,76.0,27.25,82.76,0.99,NE_Monsoon,Black,111480.48
2020-10-30,8.0,76.0,27.71,80.49,0.66,NE_Monsoon,Black,116581.77
2020-10-31,8.0,76.0,27.96,77.86,0.16,NE_Monsoon,Black,122277.78000000001
2020-11-01,8.0,76.0,28.39,74.38,0.0,NE_Monsoon,Black,125746.74
2020-11-02,8.0,76.0,28.31,76.38,0.01,NE_Monsoon,Black,125242.74
2020-11-03,8.0,76.0,28.42,73.64,0.25,NE_Monsoon,Black,123651.72000000002
2020-11-04,8.0,76.0,28.39,76.76,2.69,NE_Monsoon,Black,101472.48
2020-11-05,8.0,76.0,28.0,81.65,6.35,NE_Monsoon,Black,66645.45000000001
2020-11-06,8.0,76.0,27.98,80.11,10.74,NE_Monsoon,Black,27087.03
2020-11-07,8.0,76.0,28.8,80.75,4.0,NE_Monsoon,Black,91419.75
2020-11-08,8.0,76.0,28.75,79.42,3.85,NE_Monsoon,Black,92580.66
2020-11-09,8.0,76.0,28.62,76.17,1.09,NE_Monsoon,Black,116923.41
2020-11-10,8.0,76.0,28.44,75.31,0.47,NE_Monsoon,Black,121716.63000000002
2020-11-11,8.0,76.0,28.64,73.77,1.05,NE_Monsoon,Black,117438.20999999999
2020-11-12,8.0,76.0,28.09,83.04,6.99,NE_Monsoon,Black,61252.920000000006
2020-11-13,8.0,76.0,27.91,79.06,24.43,NE_Monsoon,Black,0.0
2020-11-14,8.0,76.0,28.52,82.59,1.74,NE_Monsoon,Black,110450.07
2020-11-15,8.0,76.0,28.51,81.65,17.26,NE_Monsoon,Black,0.0
2020-11-16,8.0,76.0,27.99,87.14,9.56,NE_Monsoon,Black,37562.219999999994
2020-11-17,8.0,76.0,28.4,83.29,52.01,NE_Monsoon,Black,0.0
2020-11-18,8.0,76.0,27.22,84.56,11.04,NE_Monsoon,Black,20846.880000000012
