Date,Temperature,Humidity,Rainfall,Latitude,Longitude
2020-06-01,28.77,82.82,9.91,8.0,76.0
2020-06-02,28.74,82.03,15.39,8.0,76.0
2020-06-03,28.66,81.89,15.72,8.0,76.0
2020-06-04,29.12,80.48,7.0,8.0,76.0
2020-06-05,29.18,81.94,21.46,8.0,76.0
2020-06-06,29.12,75.88,11.76,8.0,76.0
2020-06-07,28.84,80.06,7.72,8.0,76.0
2020-06-08,29.07,81.03,4.9,8.0,76.0
2020-06-09,28.83,84.52,8.88,8.0,76.0
2020-06-10,28.99,83.68,7.03,8.0,76.0
2020-06-11,29.15,77.01,4.48,8.0,76.0
2020-06-12,29.25,77.09,10.58,8.0,76.0
2020-06-13,29.08,78.46,12.92,8.0,76.0
2020-06-14,29.07,80.76,2.33,8.0,76.0
2020-06-15,29.25,81.22,3.03,8.0,76.0
2020-06-16,29.06,84.08,5.91,8.0,76.0
2020-06-17,28.83,83.15,8.47,8.0,76.0
2020-06-18,29.06,78.85,4.67,8.0,76.0
2020-06-19,28.71,82.66,3.4,8.0,76.0
2020-06-20,28.68,82.35,3.0,8.0,76.0
2020-06-21,27.74,83.21,5.44,8.0,76.0
2020-06-22,27.82,82.27,17.25,8.0,76.0
2020-06-23,28.53,79.2,3.67,8.0,76.0
2020-06-24,28.25,83.1,2.98,8.0,76.0
2020-06-25,27.9,80.65,6.89,8.0,76.0
2020-06-26,27.71,81.2,38.02,8.0,76.0
2020-06-27,28.27,78.72,0.34,8.0,76.0
2020-06-28,28.22,84.72,2.0,8.0,76.0
2020-06-29,28.03,87.33,2.67,8.0,76.0
2020-06-30,28.05,88.27,4.75,8.0,76.0
2020-07-01,28.02,84.45,5.03,8.0,76.0
2020-07-02,27.99,83.56,4.74,8.0,76.0
2020-07-03,27.69,82.27,14.6,8.0,76.0
2020-07-04,27.99,77.82,5.94,8.0,76.0
2020-07-05,28.27,81.01,5.47,8.0,76.0
2020-07-06,28.21,78.98,7.55,8.0,76.0
2020-07-07,28.37,79.24,2.53,8.0,76.0
2020-07-08,28.8,78.81,4.05,8.0,76.0
2020-07-09,27.71,83.53,8.37,8.0,76.0
2020-07-10,27.03,85.31,5.27,8.0,76.0
2020-07-11,27.18,85.43,3.56,8.0,76.0
2020-07-12,27.38,83.61,3.1,8.0,76.0
2020-07-13,27.06,85.05,5.59,8.0,76.0
2020-07-14,27.64,84.71,1.34,8.0,76.0
2020-07-15,27.75,84.03,5.38,8.0,76.0
2020-07-16,27.57,85.25,6.35,8.0,76.0
2020-07-17,27.38,85.46,9.08,8.0,76.0
2020-07-18,26.81,87.47,19.29,8.0,76.0
2020-07-19,27.21,85.44,12.91,8.0,76.0
2020-07-20,26.76,89.28,6.79,8.0,76.0
2020-07-21,27.11,86.12,4.42,8.0,76.0
2020-07-22,27.29,84.86,1.21,8.0,76.0
2020-07-23,27.14,86.53,9.63,8.0,76.0
2020-07-24,27.05,85.68,14.51,8.0,76.0
2020-07-25,27.21,84.88,13.25,8.0,76.0
2020-07-26,27.36,77.96,10.7,8.0,76.0
2020-07-27,27.54,81.67,18.07,8.0,76.0
2020-07-28,27.4,84.52,24.24,8.0,76.0
2020-07-29,26.71,84.55,95.2,8.0,76.0
2020-07-30,27.75,78.04,25.76,8.0,76.0
2020-07-31,27.54,83.48,8.81,8.0,76.0
2020-08-01,27.56,84.53,15.75,8.0,76.0
2020-08-02,26.91,86.29,10.84,8.0,76.0
2020-08-03,27.22,85.04,3.36,8.0,76.0
2020-08-04,27.42,89.53,8.55,8.0,76.0
2020-08-05,27.47,85.29,41.11,8.0,76.0
2020-08-06,27.41,87.14,33.78,8.0,76.0
2020-08-07,27.21,85.99,20.03,8.0,76.0
2020-08-08,27.13,84.41,13.89,8.0,76.0
2020-08-09,26.5,87.11,10.94,8.0,76.0
2020-08-10,27.23,88.05,12.18,8.0,76.0
2020-08-11,27.13,87.17,4.19,8.0,76.0
2020-08-12,27.23,85.03,4.59,8.0,76.0
2020-08-13,27.26,81.9,0.14,8.0,76.0
2020-08-14,27.4,83.99,0.41,8.0,76.0
2020-08-15,27.43,84.43,0.76,8.0,76.0
2020-08-16,27.25,87.15,1.49,8.0,76.0
2020-08-17,27.6,83.71,0.52,8.0,76.0
2020-08-18,27.36,86.92,0.33,8.0,76.0
2020-08-19,27.69,84.87,0.25,8.0,76.0
2020-08-20,27.78,83.22,0.25,8.0,76.0
2020-08-21,27.61,86.58,0.23,8.0,76.0
2020-08-22,27.82,85.72,0.48,8.0,76.0
2020-08-23,27.85,84.19,1.19,8.0,76.0
2020-08-24,27.95,80.98,0.37,8.0,76.0
2020-08-25,28.07,83.1,0.47,8.0,76.0
2020-08-26,28.26,79.94,0.26,8.0,76.0
2020-08-27,28.45,77.75,0.46,8.0,76.0
2020-08-28,27.94,81.56,1.82,8.0,76.0
2020-08-29,28.02,81.87,1.79,8.0,76.0
2020-08-30,27.91,84.39,1.3,8.0,76.0
2020-08-31,27.97,83.17,1.39,8.0,76.0
2020-09-01,27.03,84.91,5.09,8.0,76.0
2020-09-02,26.92,85.73,5.26,8.0,76.0
2020-09-03,27.92,82.28,8.9,8.0,76.0
2020-09-04,28.25,83.25,42.5,8.0,76.0
2020-09-05,28.0,84.11,37.83,8.0,76.0
2020-09-06,27.52,86.02,21.85,8.0,76.0
2020-09-07,27.95,81.6,10.34,8.0,76.0
2020-09-08,28.01,83.95,41.25,8.0,76.0
2020-09-09,27.92,85.68,20.09,8.0,76.0
2020-09-10,27.56,84.23,45.09,8.0,76.0
2020-09-11,28.14,83.05,6.18,8.0,76.0
2020-09-12,27.77,84.0,3.46,8.0,76.0
2020-09-13,27.67,82.86,5.1,8.0,76.0
2020-09-14,27.61,81.46,12.44,8.0,76.0
2020-09-15,27.42,87.11,10.47,8.0,76.0
2020-09-16,27.76,86.71,6.0,8.0,76.0
2020-09-17,27.69,86.49,6.66,8.0,76.0
2020-09-18,27.81,86.25,9.33,8.0,76.0
2020-09-19,27.78,84.88,14.61,8.0,76.0
2020-09-20,27.8,79.79,12.04,8.0,76.0
2020-09-21,28.05,77.5,20.03,8.0,76.0
2020-09-22,28.02,81.02,10.94,8.0,76.0
2020-09-23,27.76,84.29,3.83,8.0,76.0
2020-09-24,27.56,86.02,8.52,8.0,76.0
2020-09-25,27.28,86.48,5.03,8.0,76.0
2020-09-26,27.23,81.91,1.51,8.0,76.0
2020-09-27,26.85,85.25,0.55,8.0,76.0
2020-09-28,27.38,85.34,2.82,8.0,76.0
2020-09-29,27.92,78.94,2.49,8.0,76.0
2020-09-30,27.52,82.15,5.37,8.0,76.0
2020-10-01,27.48,82.9,0.47,8.0,76.0
2020-10-02,27.26,84.91,1.07,8.0,76.0
2020-10-03,27.22,84.26,0.5,8.0,76.0
2020-10-04,27.34,82.82,0.42,8.0,76.0
2020-10-05,27.45,81.17,0.34,8.0,76.0
2020-10-06,27.45,79.35,0.0,8.0,76.0
2020-10-07,27.48,80.14,0.08,8.0,76.0
2020-10-08,27.64,81.0,1.22,8.0,76.0
2020-10-09,27.34,84.31,1.56,8.0,76.0
2020-10-10,27.3,83.43,7.18,8.0,76.0
2020-10-11,27.64,83.02,10.23,8.0,76.0
2020-10-12,28.19,82.02,6.34,8.0,76.0
2020-10-13,28.14,82.85,12.97,8.0,76.0
2020-10-14,27.82,85.74,23.52,8.0,76.0
2020-10-15,27.58,86.37,27.66,8.0,76.0
2020-10-16,28.11,74.56,1.15,8.0,76.0
2020-10-17,27.74,79.35,0.29,8.0,76.0
2020-10-18,27.44,83.91,4.12,8.0,76.0
2020-10-19,27.37,84.09,3.5,8.0,76.0
2020-10-20,27.81,81.01,1.39,8.0,76.0
2020-10-21,27.66,83.97,8.21,8.0,76.0
2020-10-22,27.7,83.33,9.52,8.0,76.0
2020-10-23,27.58,83.11,2.9,8.0,76.0
2020-10-24,27.78,81.52,9.33,8.0,76.0
2020-10-25,27.76,82.18,3.45,8.0,76.0
2020-10-26,27.71,81.73,0.95,8.0,76.0
2020-10-27,27.74,81.58,12.85,8.0,76.0
2020-10-28,27.23,85.01,49.0,8.0,76.0
2020-10-29,27.25,82.76,0.99,8.0,76.0
2020-10-30,27.71,80.49,0.66,8.0,76.0
2020-10-31,27.96,77.86,0.16,8.0,76.0
2020-11-01,28.39,74.38,0.0,8.0,76.0
2020-11-02,28.31,76.38,0.01,8.0,76.0
2020-11-03,28.42,73.64,0.25,8.0,76.0
2020-11-04,28.39,76.76,2.69,8.0,76.0
2020-11-05,28.0,81.65,6.35,8.0,76.0
2020-11-06,27.98,80.11,10.74,8.0,76.0
2020-11-07,28.8,80.75,4.0,8.0,76.0
2020-11-08,28.75,79.42,3.85,8.0,76.0
2020-11-09,28.62,76.17,1.09,8.0,76.0
2020-11-10,28.44,75.31,0.47,8.0,76.0
2020-11-11,28.64,73.77,1.05,8.0,76.0
2020-11-12,28.09,83.04,6.99,8.0,76.0
2020-11-13,27.91,79.06,24.43,8.0,76.0
2020-11-14,28.52,82.59,1.74,8.0,76.0
2020-11-15,28.51,81.65,17.26,8.0,76.0
2020-11-16,27.99,87.14,9.56,8.0,76.0
2020-11-17,28.4,83.29,52.01,8.0,76.0
2020-11-18,27.22,84.56,11.04,8.0,76.0
2020-11-19,27.68,83.27,25.59,8.0,76.0
2020-11-20,27.63,82.87,1.42,8.0,76.0
2020-11-21,28.74,70.32,0.7,8.0,76.0
2020-11-22,28.46,70.54,0.19,8.0,76.0
2020-11-23,28.32,67.23,0.15,8.0,76.0
2020-11-24,28.37,71.46,0.01,8.0,76.0
2020-11-25,28.69,75.33,0.59,8.0,76.0
2020-11-26,28.44,78.39,0.25,8.0,76.0
2020-11-27,28.22,74.07,0.25,8.0,76.0
2020-11-28,28.37,71.55,0.38,8.0,76.0
2020-11-29,28.24,78.78,1.09,8.0,76.0
2020-11-30,28.7,75.69,2.06,8.0,76.0
2020-12-01,28.69,70.9,1.38,8.0,76.0
2020-12-02,29.34,62.87,0.09,8.0,76.0
2020-12-03,29.05,71.28,3.42,8.0,76.0
2020-12-04,27.63,86.19,4.97,8.0,76.0
2020-12-05,27.91,83.59,7.62,8.0,76.0
2020-12-06,28.06,78.0,1.28,8.0,76.0
2020-12-07,27.85,80.65,0.55,8.0,76.0
2020-12-08,28.24,81.46,1.09,8.0,76.0
2020-12-09,28.35,82.01,1.03,8.0,76.0
2020-12-10,28.38,77.47,0.87,8.0,76.0
2020-12-11,28.33,74.02,0.16,8.0,76.0
2020-12-12,28.04,71.43,0.17,8.0,76.0
2020-12-13,27.86,71.72,2.34,8.0,76.0
2020-12-14,28.44,67.62,1.14,8.0,76.0
2020-12-15,28.47,65.79,1.34,8.0,76.0
2020-12-16,27.43,77.55,2.7,8.0,76.0
2020-12-17,27.55,78.81,0.96,8.0,76.0
2020-12-18,28.07,78.22,1.5,8.0,76.0
2020-12-19,27.76,78.16,0.51,8.0,76.0
2020-12-20,28.13,73.87,0.0,8.0,76.0
2020-12-21,27.77,72.85,0.01,8.0,76.0
2020-12-22,27.38,77.4,0.1,8.0,76.0
2020-12-23,27.45,80.95,0.16,8.0,76.0
2020-12-24,28.08,78.86,0.01,8.0,76.0
2020-12-25,28.11,76.24,0.0,8.0,76.0
2020-12-26,28.13,70.78,0.0,8.0,76.0
2020-12-27,28.17,64.51,0.0,8.0,76.0
2020-12-28,28.13,69.53,0.01,8.0,76.0
2020-12-29,28.33,68.64,0.48,8.0,76.0
2020-12-30,28.32,79.41,2.89,8.0,76.0
2020-12-31,28.26,81.03,2.86,8.0,76.0
2021-01-01,27.91,77.8,1.32,8.0,76.0
2021-01-02,28.0,70.51,0.12,8.0,76.0
2021-01-03,27.9,80.33,1.97,8.0,76.0
2021-01-04,27.62,85.05,7.6,8.0,76.0
2021-01-05,27.74,79.08,5.05,8.0,76.0
2021-01-06,27.41,77.97,11.73,8.0,76.0
2021-01-07,27.69,82.44,3.85,8.0,76.0
2021-01-08,27.39,83.38,11.86,8.0,76.0
2021-01-09,27.34,84.76,16.35,8.0,76.0
2021-01-10,26.38,82.51,19.82,8.0,76.0
2021-01-11,27.38,77.07,5.79,8.0,76.0
2021-01-12,27.13,80.67,43.49,8.0,76.0
2021-01-13,27.41,89.09,26.33,8.0,76.0
2021-01-14,27.45,85.92,5.46,8.0,76.0
2021-01-15,27.9,77.52,7.19,8.0,76.0
2021-01-16,27.3,82.84,46.43,8.0,76.0
2021-01-17,27.57,82.1,46.64,8.0,76.0
2021-01-18,27.47,70.49,0.0,8.0,76.0
2021-01-19,27.64,65.94,0.0,8.0,76.0
2021-01-20,28.08,68.29,0.0,8.0,76.0
2021-01-21,27.8,76.46,0.02,8.0,76.0
2021-01-22,27.96,79.75,0.04,8.0,76.0
2021-01-23,27.76,78.62,0.03,8.0,76.0
2021-01-24,27.81,75.12,0.02,8.0,76.0
2021-01-25,27.87,70.52,0.0,8.0,76.0
2021-01-26,28.0,65.47,0.0,8.0,76.0
2021-01-27,27.82,63.7,0.0,8.0,76.0
2021-01-28,28.02,65.1,0.0,8.0,76.0
2021-01-29,27.76,66.67,0.0,8.0,76.0
2021-01-30,27.93,71.96,0.09,8.0,76.0
2021-01-31,28.21,73.01,0.03,8.0,76.0
2021-02-01,28.01,75.02,0.02,8.0,76.0
2021-02-02,27.97,74.66,0.02,8.0,76.0
2021-02-03,28.15,72.54,0.0,8.0,76.0
2021-02-04,27.84,71.06,0.0,8.0,76.0
2021-02-05,27.79,69.0,0.0,8.0,76.0
2021-02-06,28.19,66.63,0.0,8.0,76.0
2021-02-07,28.23,63.74,0.0,8.0,76.0
2021-02-08,28.06,67.41,0.0,8.0,76.0
2021-02-09,27.69,64.93,0.0,8.0,76.0
2021-02-10,27.62,65.25,0.0,8.0,76.0
2021-02-11,27.47,63.12,0.0,8.0,76.0
2021-02-12,27.57,65.05,0.0,8.0,76.0
2021-02-13,27.68,62.61,0.0,8.0,76.0
2021-02-14,27.8,63.94,0.0,8.0,76.0
2021-02-15,28.05,66.91,0.0,8.0,76.0
2021-02-16,27.76,72.71,0.0,8.0,76.0
2021-02-17,28.07,72.66,0.01,8.0,76.0
2021-02-18,27.85,72.86,0.03,8.0,76.0
2021-02-19,28.02,72.81,0.01,8.0,76.0
2021-02-20,28.15,73.89,0.43,8.0,76.0
2021-02-21,27.82,74.97,0.49,8.0,76.0
2021-02-22,28.0,75.47,0.48,8.0,76.0
2021-02-23,27.98,72.51,0.39,8.0,76.0
2021-02-24,28.22,69.86,0.02,8.0,76.0
2021-02-25,27.94,76.55,0.65,8.0,76.0
2021-02-26,27.76,81.73,2.55,8.0,76.0
2021-02-27,27.84,81.91,4.11,8.0,76.0
2021-02-28,27.75,79.01,0.2,8.0,76.0
2021-03-01,27.7,71.55,0.01,8.0,76.0
2021-03-02,28.34,68.96,0.0,8.0,76.0
2021-03-03,28.1,70.27,0.0,8.0,76.0
2021-03-04,27.89,71.28,0.0,8.0,76.0
2021-03-05,28.45,67.96,0.0,8.0,76.0
2021-03-06,28.26,72.37,0.0,8.0,76.0
2021-03-07,28.34,74.78,0.36,8.0,76.0
2021-03-08,28.47,77.52,2.61,8.0,76.0
2021-03-09,28.47,79.7,3.78,8.0,76.0
2021-03-10,28.34,80.78,1.91,8.0,76.0
2021-03-11,27.59,79.52,6.79,8.0,76.0
2021-03-12,28.07,76.47,0.48,8.0,76.0
2021-03-13,28.51,71.53,0.0,8.0,76.0
2021-03-14,28.47,76.16,0.0,8.0,76.0
2021-03-15,28.97,71.28,0.01,8.0,76.0
2021-03-16,28.9,67.61,0.0,8.0,76.0
2021-03-17,28.78,71.77,0.07,8.0,76.0
2021-03-18,28.6,75.37,0.17,8.0,76.0
2021-03-19,27.23,79.53,2.43,8.0,76.0
2021-03-20,27.25,79.46,4.08,8.0,76.0
2021-03-21,28.02,74.22,1.43,8.0,76.0
2021-03-22,28.42,75.44,2.56,8.0,76.0
2021-03-23,28.48,80.07,4.0,8.0,76.0
2021-03-24,27.44,84.56,27.25,8.0,76.0
2021-03-25,27.69,74.94,6.8,8.0,76.0
2021-03-26,29.21,75.44,6.69,8.0,76.0
2021-03-27,28.2,81.91,7.72,8.0,76.0
2021-03-28,28.18,80.58,16.38,8.0,76.0
2021-03-29,28.64,74.57,4.49,8.0,76.0
2021-03-30,29.15,66.33,2.86,8.0,76.0
2021-03-31,28.96,76.48,3.33,8.0,76.0
2021-04-01,28.96,83.06,4.17,8.0,76.0
2021-04-02,28.98,78.14,0.11,8.0,76.0
2021-04-03,28.96,76.68,0.16,8.0,76.0
2021-04-04,28.75,77.22,0.0,8.0,76.0
2021-04-05,29.21,78.88,1.86,8.0,76.0
2021-04-06,28.98,79.39,3.02,8.0,76.0
2021-04-07,28.61,80.7,3.3,8.0,76.0
2021-04-08,28.65,78.96,2.19,8.0,76.0
2021-04-09,28.3,82.81,2.81,8.0,76.0
2021-04-10,28.06,80.81,2.44,8.0,76.0
2021-04-11,28.35,76.21,3.34,8.0,76.0
2021-04-12,28.55,72.2,4.3,8.0,76.0
2021-04-13,28.09,77.12,6.54,8.0,76.0
2021-04-14,28.75,75.11,4.14,8.0,76.0
2021-04-15,28.86,75.98,7.93,8.0,76.0
2021-04-16,28.69,78.63,34.18,8.0,76.0
2021-04-17,28.79,80.68,1.98,8.0,76.0
2021-04-18,28.52,81.14,1.96,8.0,76.0
2021-04-19,28.75,81.83,1.66,8.0,76.0
2021-04-20,28.71,83.29,2.21,8.0,76.0
2021-04-21,29.04,81.5,10.03,8.0,76.0
2021-04-22,29.09,80.45,6.38,8.0,76.0
2021-04-23,28.72,81.9,2.12,8.0,76.0
2021-04-24,29.12,80.55,1.92,8.0,76.0
2021-04-25,29.19,79.26,5.39,8.0,76.0
2021-04-26,29.43,78.83,5.78,8.0,76.0
2021-04-27,29.26,82.01,1.31,8.0,76.0
2021-04-28,29.21,81.26,0.43,8.0,76.0
2021-04-29,29.02,83.29,4.3,8.0,76.0
2021-04-30,29.36,81.59,6.36,8.0,76.0
2021-05-01,29.35,80.26,8.11,8.0,76.0
2021-05-02,29.09,81.65,6.05,8.0,76.0
2021-05-03,28.74,83.13,4.89,8.0,76.0
2021-05-04,28.96,74.6,7.85,8.0,76.0
2021-05-05,29.33,74.73,1.53,8.0,76.0
2021-05-06,28.88,79.43,1.01,8.0,76.0
2021-05-07,28.9,78.5,35.38,8.0,76.0
2021-05-08,28.95,73.69,6.1,8.0,76.0
2021-05-09,29.25,79.21,3.83,8.0,76.0
2021-05-10,28.88,81.04,18.86,8.0,76.0
2021-05-11,29.12,83.56,18.81,8.0,76.0
2021-05-12,29.22,83.85,62.8,8.0,76.0
2021-05-13,28.99,82.56,10.97,8.0,76.0
2021-05-14,28.84,81.35,30.37,8.0,76.0
2021-05-15,29.25,79.78,64.18,8.0,76.0
2021-05-16,29.29,78.16,2.95,8.0,76.0
2021-05-17,29.21,79.06,0.76,8.0,76.0
2021-05-18,29.43,80.74,8.2,8.0,76.0
2021-05-19,29.63,80.28,15.29,8.0,76.0
2021-05-20,28.66,84.66,36.93,8.0,76.0
2021-05-21,28.44,86.21,23.82,8.0,76.0
2021-05-22,29.04,84.7,29.3,8.0,76.0
2021-05-23,28.85,83.47,22.06,8.0,76.0
2021-05-24,28.31,88.12,23.17,8.0,76.0
2021-05-25,29.15,78.1,65.5,8.0,76.0
2021-05-26,28.68,79.72,22.04,8.0,76.0
2021-05-27,29.21,76.73,2.37,8.0,76.0
2021-05-28,29.44,79.72,14.63,8.0,76.0
2021-05-29,29.32,79.61,10.33,8.0,76.0
2021-05-30,29.11,80.34,3.64,8.0,76.0
